"상품군별(1)","시점",인터넷쇼핑,모바일쇼핑
"컴퓨터 및 주변기기","2017.01",288391,133993
"가전·전자·통신기기","2017.01",307496,294626
"서적","2017.01",103851,47379
"사무·문구","2017.01",37233,15959
"의복","2017.01",397422,467093
"신발","2017.01",42529,61269
"가방","2017.01",43978,99665
"패션용품 및 액세서리","2017.01",56669,86770
"스포츠·레저용품","2017.01",104489,96891
"화장품","2017.01",273399,380746
"아동·유아용품","2017.01",76647,183143
"음·식료품","2017.01",281528,394322
"농축수산물","2017.01",116799,142230
"생활용품","2017.01",245410,346900
"자동차 및 자동차용품","2017.01",34744,45400
"가구","2017.01",83204,105397
"애완용품","2017.01",22849,30247
"여행 및 교통서비스","2017.01",603688,611775
"문화 및 레저서비스","2017.01",94242,70012
"이쿠폰서비스","2017.01",14216,74432
"음식서비스","2017.01",32810,150546
"기타서비스","2017.01",41810,23788
"기타","2017.01",86780,57713
"컴퓨터 및 주변기기","2017.02",329143,146200
"가전·전자·통신기기","2017.02",328088,298786
"서적","2017.02",106649,47680
"사무·문구","2017.02",41550,18854
"의복","2017.02",382105,445567
"신발","2017.02",44976,73655
"가방","2017.02",53127,110077
"패션용품 및 액세서리","2017.02",58915,87970
"스포츠·레저용품","2017.02",106163,100947
"화장품","2017.02",300678,428550
"아동·유아용품","2017.02",81434,180770
"음·식료품","2017.02",223285,349797
"농축수산물","2017.02",66964,100582
"생활용품","2017.02",252296,354823
"자동차 및 자동차용품","2017.02",33549,43128
"가구","2017.02",96989,122186
"애완용품","2017.02",24296,37709
"여행 및 교통서비스","2017.02",552472,557968
"문화 및 레저서비스","2017.02",72901,50991
"이쿠폰서비스","2017.02",11707,69089
"음식서비스","2017.02",28759,145165
"기타서비스","2017.02",22608,18125
"기타","2017.02",80170,61409
"컴퓨터 및 주변기기","2017.03",322089,151262
"가전·전자·통신기기","2017.03",349185,318541
"서적","2017.03",126052,59519
"사무·문구","2017.03",45751,24255
"의복","2017.03",478990,563752
"신발","2017.03",55799,97495
"가방","2017.03",54028,114633
"패션용품 및 액세서리","2017.03",63045,102632
"스포츠·레저용품","2017.03",128706,128655
"화장품","2017.03",353850,361445
"아동·유아용품","2017.03",95343,204856
"음·식료품","2017.03",249069,392601
"농축수산물","2017.03",72315,121835
"생활용품","2017.03",266119,353374
"자동차 및 자동차용품","2017.03",37139,44158
"가구","2017.03",102935,137752
"애완용품","2017.03",25187,40078
"여행 및 교통서비스","2017.03",510654,561942
"문화 및 레저서비스","2017.03",88936,49197
"이쿠폰서비스","2017.03",12277,77872
"음식서비스","2017.03",30493,161602
"기타서비스","2017.03",19826,16120
"기타","2017.03",97661,77987
"컴퓨터 및 주변기기","2017.04",251604,116675
"가전·전자·통신기기","2017.04",366894,349814
"서적","2017.04",82291,40127
"사무·문구","2017.04",41721,20233
"의복","2017.04",441022,531625
"신발","2017.04",54249,97379
"가방","2017.04",47250,112149
"패션용품 및 액세서리","2017.04",59952,105230
"스포츠·레저용품","2017.04",135380,147775
"화장품","2017.04",251566,331769
"아동·유아용품","2017.04",90564,203032
"음·식료품","2017.04",266606,386307
"농축수산물","2017.04",65812,110327
"생활용품","2017.04",246729,328595
"자동차 및 자동차용품","2017.04",35727,44786
"가구","2017.04",88744,117279
"애완용품","2017.04",23609,35774
"여행 및 교통서비스","2017.04",534384,600457
"문화 및 레저서비스","2017.04",66084,53515
"이쿠폰서비스","2017.04",12206,72727
"음식서비스","2017.04",30273,166271
"기타서비스","2017.04",21513,31704
"기타","2017.04",90639,72425
"컴퓨터 및 주변기기","2017.05",241871,109053
"가전·전자·통신기기","2017.05",417717,443900
"서적","2017.05",78606,35774
"사무·문구","2017.05",39428,17810
"의복","2017.05",439084,539150
"신발","2017.05",55797,104765
"가방","2017.05",45044,107327
"패션용품 및 액세서리","2017.05",61938,106764
"스포츠·레저용품","2017.05",138288,154683
"화장품","2017.05",262428,360424
"아동·유아용품","2017.05",76554,198011
"음·식료품","2017.05",239172,394181
"농축수산물","2017.05",63704,112058
"생활용품","2017.05",247892,352665
"자동차 및 자동차용품","2017.05",38442,48770
"가구","2017.05",83217,118222
"애완용품","2017.05",22937,33175
"여행 및 교통서비스","2017.05",574594,607302
"문화 및 레저서비스","2017.05",76776,57009
"이쿠폰서비스","2017.05",14631,83982
"음식서비스","2017.05",31139,179426
"기타서비스","2017.05",18357,25133
"기타","2017.05",92076,72441
"컴퓨터 및 주변기기","2017.06",262908,113811
"가전·전자·통신기기","2017.06",366554,385920
"서적","2017.06",78615,37657
"사무·문구","2017.06",37788,18181
"의복","2017.06",394173,515569
"신발","2017.06",54666,101494
"가방","2017.06",43903,105539
"패션용품 및 액세서리","2017.06",61378,101447
"스포츠·레저용품","2017.06",137585,151484
"화장품","2017.06",274418,378115
"아동·유아용품","2017.06",75478,183591
"음·식료품","2017.06",243369,398224
"농축수산물","2017.06",66113,114736
"생활용품","2017.06",246264,350978
"자동차 및 자동차용품","2017.06",39538,48653
"가구","2017.06",84221,119363
"애완용품","2017.06",22732,33360
"여행 및 교통서비스","2017.06",605089,605819
"문화 및 레저서비스","2017.06",86509,57802
"이쿠폰서비스","2017.06",16151,78868
"음식서비스","2017.06",25541,170090
"기타서비스","2017.06",18198,22907
"기타","2017.06",99948,80383
"컴퓨터 및 주변기기","2017.07",252949,128025
"가전·전자·통신기기","2017.07",432760,494107
"서적","2017.07",95733,47351
"사무·문구","2017.07",35743,18084
"의복","2017.07",392273,495098
"신발","2017.07",48228,92518
"가방","2017.07",44194,107525
"패션용품 및 액세서리","2017.07",63749,106286
"스포츠·레저용품","2017.07",133912,158771
"화장품","2017.07",258757,360699
"아동·유아용품","2017.07",72696,191882
"음·식료품","2017.07",233432,404744
"농축수산물","2017.07",64551,118131
"생활용품","2017.07",240315,373275
"자동차 및 자동차용품","2017.07",41482,52762
"가구","2017.07",85175,126482
"애완용품","2017.07",22569,35931
"여행 및 교통서비스","2017.07",643280,736121
"문화 및 레저서비스","2017.07",82271,69376
"이쿠폰서비스","2017.07",15604,76023
"음식서비스","2017.07",27301,197324
"기타서비스","2017.07",24316,27703
"기타","2017.07",93311,75734
"컴퓨터 및 주변기기","2017.08",280831,135562
"가전·전자·통신기기","2017.08",359011,399471
"서적","2017.08",100090,49898
"사무·문구","2017.08",38125,19625
"의복","2017.08",338973,419251
"신발","2017.08",40961,77350
"가방","2017.08",47640,115821
"패션용품 및 액세서리","2017.08",67589,110615
"스포츠·레저용품","2017.08",122467,143884
"화장품","2017.08",280375,372187
"아동·유아용품","2017.08",72846,190684
"음·식료품","2017.08",254664,437977
"농축수산물","2017.08",68512,125578
"생활용품","2017.08",245562,386060
"자동차 및 자동차용품","2017.08",39414,53285
"가구","2017.08",90905,136077
"애완용품","2017.08",23065,37525
"여행 및 교통서비스","2017.08",645755,760584
"문화 및 레저서비스","2017.08",101624,83259
"이쿠폰서비스","2017.08",17291,83577
"음식서비스","2017.08",34667,219093
"기타서비스","2017.08",21923,30697
"기타","2017.08",103067,76238
"컴퓨터 및 주변기기","2017.09",270647,128865
"가전·전자·통신기기","2017.09",343507,363151
"서적","2017.09",88774,47891
"사무·문구","2017.09",39683,20792
"의복","2017.09",434408,525271
"신발","2017.09",49838,90408
"가방","2017.09",48352,116864
"패션용품 및 액세서리","2017.09",63340,107005
"스포츠·레저용품","2017.09",124327,141138
"화장품","2017.09",331282,385834
"아동·유아용품","2017.09",75971,196306
"음·식료품","2017.09",316807,511044
"농축수산물","2017.09",122538,166426
"생활용품","2017.09",265245,388499
"자동차 및 자동차용품","2017.09",36519,50478
"가구","2017.09",91966,135835
"애완용품","2017.09",24325,41752
"여행 및 교통서비스","2017.09",538530,684418
"문화 및 레저서비스","2017.09",74496,52535
"이쿠폰서비스","2017.09",17375,83024
"음식서비스","2017.09",30106,209012
"기타서비스","2017.09",92102,32185
"기타","2017.09",104940,87334
"컴퓨터 및 주변기기","2017.10",235350,118174
"가전·전자·통신기기","2017.10",333413,394994
"서적","2017.10",72439,41293
"사무·문구","2017.10",37422,18898
"의복","2017.10",439236,595469
"신발","2017.10",47801,92565
"가방","2017.10",44345,112662
"패션용품 및 액세서리","2017.10",57204,104244
"스포츠·레저용품","2017.10",126699,148099
"화장품","2017.10",311318,366559
"아동·유아용품","2017.10",70801,189740
"음·식료품","2017.10",216216,392399
"농축수산물","2017.10",67310,107471
"생활용품","2017.10",227897,374151
"자동차 및 자동차용품","2017.10",32422,48053
"가구","2017.10",85731,137353
"애완용품","2017.10",22728,41763
"여행 및 교통서비스","2017.10",549027,658486
"문화 및 레저서비스","2017.10",97818,81688
"이쿠폰서비스","2017.10",16436,79602
"음식서비스","2017.10",32224,210551
"기타서비스","2017.10",27007,25456
"기타","2017.10",96251,75041
"컴퓨터 및 주변기기","2017.11",302907,157832
"가전·전자·통신기기","2017.11",462529,485981
"서적","2017.11",87946,44577
"사무·문구","2017.11",44129,23812
"의복","2017.11",586462,857482
"신발","2017.11",61475,114073
"가방","2017.11",49080,120428
"패션용품 및 액세서리","2017.11",66076,123504
"스포츠·레저용품","2017.11",141177,171843
"화장품","2017.11",354520,434703
"아동·유아용품","2017.11",84549,215042
"음·식료품","2017.11",253308,448282
"농축수산물","2017.11",76101,132643
"생활용품","2017.11",274287,434326
"자동차 및 자동차용품","2017.11",39536,50031
"가구","2017.11",96351,145819
"애완용품","2017.11",25677,46998
"여행 및 교통서비스","2017.11",518560,639102
"문화 및 레저서비스","2017.11",65460,79622
"이쿠폰서비스","2017.11",20237,104091
"음식서비스","2017.11",34430,246210
"기타서비스","2017.11",31121,25590
"기타","2017.11",105278,113788
"컴퓨터 및 주변기기","2017.12",320177,155301
"가전·전자·통신기기","2017.12",387969,427298
"서적","2017.12",103589,58092
"사무·문구","2017.12",50562,27303
"의복","2017.12",458290,737601
"신발","2017.12",52613,102315
"가방","2017.12",51051,129802
"패션용품 및 액세서리","2017.12",69667,136433
"스포츠·레저용품","2017.12",118429,139821
"화장품","2017.12",290554,412990
"아동·유아용품","2017.12",104274,272962
"음·식료품","2017.12",258055,451629
"농축수산물","2017.12",75792,146060
"생활용품","2017.12",264710,417191
"자동차 및 자동차용품","2017.12",37716,47508
"가구","2017.12",88111,132574
"애완용품","2017.12",23206,39074
"여행 및 교통서비스","2017.12",522992,755350
"문화 및 레저서비스","2017.12",71778,135272
"이쿠폰서비스","2017.12",27963,122247
"음식서비스","2017.12",40576,298964
"기타서비스","2017.12",31087,25605
"기타","2017.12",133830,139263
"컴퓨터 및 주변기기","2018.01",324233,187441
"가전·전자·통신기기","2018.01",398999,459257
"서적","2018.01",107123,64132
"사무·문구","2018.01",46397,26473
"의복","2018.01",392385,571852
"신발","2018.01",45709,85859
"가방","2018.01",51391,135151
"패션용품 및 액세서리","2018.01",67231,128067
"스포츠·레저용품","2018.01",104533,126246
"화장품","2018.01",335960,434948
"아동·유아용품","2018.01",75872,219323
"음·식료품","2018.01",286550,560272
"농축수산물","2018.01",83591,168319
"생활용품","2018.01",261059,449370
"자동차 및 자동차용품","2018.01",31543,45677
"가구","2018.01",92737,159155
"애완용품","2018.01",24538,47640
"여행 및 교통서비스","2018.01",685630,805804
"문화 및 레저서비스","2018.01",64022,118365
"이쿠폰서비스","2018.01",20062,85532
"음식서비스","2018.01",37792,309665
"기타서비스","2018.01",42361,30782
"기타","2018.01",110089,117870
"컴퓨터 및 주변기기","2018.02",275786,177621
"가전·전자·통신기기","2018.02",351716,418685
"서적","2018.02",93094,54689
"사무·문구","2018.02",46450,25271
"의복","2018.02",336102,489051
"신발","2018.02",40727,83720
"가방","2018.02",48277,129877
"패션용품 및 액세서리","2018.02",60565,117814
"스포츠·레저용품","2018.02",91209,109501
"화장품","2018.02",316879,429497
"아동·유아용품","2018.02",71246,197372
"음·식료품","2018.02",296445,518213
"농축수산물","2018.02",116806,172972
"생활용품","2018.02",234324,401715
"자동차 및 자동차용품","2018.02",26428,39074
"가구","2018.02",89192,152372
"애완용품","2018.02",20227,40717
"여행 및 교통서비스","2018.02",548038,698011
"문화 및 레저서비스","2018.02",61442,90396
"이쿠폰서비스","2018.02",20823,108408
"음식서비스","2018.02",35445,288800
"기타서비스","2018.02",27138,30542
"기타","2018.02",91943,132678
"컴퓨터 및 주변기기","2018.03",310948,193113
"가전·전자·통신기기","2018.03",435766,510861
"서적","2018.03",121120,70476
"사무·문구","2018.03",51251,30649
"의복","2018.03",482845,680287
"신발","2018.03",56004,113113
"가방","2018.03",50380,143810
"패션용품 및 액세서리","2018.03",71766,138381
"스포츠·레저용품","2018.03",123291,160529
"화장품","2018.03",391775,439877
"아동·유아용품","2018.03",84298,214584
"음·식료품","2018.03",292272,534601
"농축수산물","2018.03",76413,152387
"생활용품","2018.03",271316,468022
"자동차 및 자동차용품","2018.03",36667,47231
"가구","2018.03",102507,174549
"애완용품","2018.03",22960,45674
"여행 및 교통서비스","2018.03",569662,694525
"문화 및 레저서비스","2018.03",96087,75329
"이쿠폰서비스","2018.03",23768,115826
"음식서비스","2018.03",35896,325867
"기타서비스","2018.03",32485,29349
"기타","2018.03",129620,147626
"컴퓨터 및 주변기기","2018.04",243815,165240
"가전·전자·통신기기","2018.04",420663,524596
"서적","2018.04",91304,52865
"사무·문구","2018.04",41862,26145
"의복","2018.04",447945,630323
"신발","2018.04",55859,113580
"가방","2018.04",49197,136272
"패션용품 및 액세서리","2018.04",64739,131549
"스포츠·레저용품","2018.04",129065,169509
"화장품","2018.04",363671,438758
"아동·유아용품","2018.04",85677,234743
"음·식료품","2018.04",284398,525617
"농축수산물","2018.04",71138,144262
"생활용품","2018.04",272221,437644
"자동차 및 자동차용품","2018.04",32750,49851
"가구","2018.04",95591,165191
"애완용품","2018.04",22363,47974
"여행 및 교통서비스","2018.04",588518,731940
"문화 및 레저서비스","2018.04",67870,97095
"이쿠폰서비스","2018.04",21048,112090
"음식서비스","2018.04",47587,318369
"기타서비스","2018.04",28747,33421
"기타","2018.04",102789,118425
"컴퓨터 및 주변기기","2018.05",237559,166676
"가전·전자·통신기기","2018.05",447810,578323
"서적","2018.05",81391,47734
"사무·문구","2018.05",39157,24464
"의복","2018.05",453370,648036
"신발","2018.05",57571,115010
"가방","2018.05",48223,142386
"패션용품 및 액세서리","2018.05",66788,131286
"스포츠·레저용품","2018.05",137411,193374
"화장품","2018.05",361374,457152
"아동·유아용품","2018.05",85549,225249
"음·식료품","2018.05",295067,553977
"농축수산물","2018.05",73233,148502
"생활용품","2018.05",259687,456275
"자동차 및 자동차용품","2018.05",32931,51080
"가구","2018.05",91504,163161
"애완용품","2018.05",22195,47039
"여행 및 교통서비스","2018.05",632925,796285
"문화 및 레저서비스","2018.05",61998,91742
"이쿠폰서비스","2018.05",31942,137108
"음식서비스","2018.05",33475,355920
"기타서비스","2018.05",29079,29302
"기타","2018.05",105807,117098
"컴퓨터 및 주변기기","2018.06",220404,151440
"가전·전자·통신기기","2018.06",424143,539531
"서적","2018.06",72096,45257
"사무·문구","2018.06",36238,23319
"의복","2018.06",410733,607131
"신발","2018.06",55260,108990
"가방","2018.06",45187,131338
"패션용품 및 액세서리","2018.06",64458,124943
"스포츠·레저용품","2018.06",133562,191456
"화장품","2018.06",333163,439341
"아동·유아용품","2018.06",72371,199563
"음·식료품","2018.06",277793,533452
"농축수산물","2018.06",69204,145068
"생활용품","2018.06",245069,442828
"자동차 및 자동차용품","2018.06",32724,48528
"가구","2018.06",89702,153625
"애완용품","2018.06",23474,51652
"여행 및 교통서비스","2018.06",627024,786901
"문화 및 레저서비스","2018.06",74968,94653
"이쿠폰서비스","2018.06",34733,130958
"음식서비스","2018.06",38204,374849
"기타서비스","2018.06",30702,28634
"기타","2018.06",95910,104495
"컴퓨터 및 주변기기","2018.07",239475,164775
"가전·전자·통신기기","2018.07",511557,676637
"서적","2018.07",90323,57737
"사무·문구","2018.07",37606,24920
"의복","2018.07",394750,597582
"신발","2018.07",51664,106288
"가방","2018.07",50196,141822
"패션용품 및 액세서리","2018.07",70239,139706
"스포츠·레저용품","2018.07",145252,215110
"화장품","2018.07",335961,443006
"아동·유아용품","2018.07",72132,215258
"음·식료품","2018.07",298775,568131
"농축수산물","2018.07",74924,149306
"생활용품","2018.07",258839,481341
"자동차 및 자동차용품","2018.07",35786,55245
"가구","2018.07",88726,159115
"애완용품","2018.07",21873,53975
"여행 및 교통서비스","2018.07",668379,899752
"문화 및 레저서비스","2018.07",63614,100614
"이쿠폰서비스","2018.07",32188,139718
"음식서비스","2018.07",41490,415437
"기타서비스","2018.07",30437,31983
"기타","2018.07",95215,106564
"컴퓨터 및 주변기기","2018.08",249200,169705
"가전·전자·통신기기","2018.08",424778,535814
"서적","2018.08",91948,57276
"사무·문구","2018.08",37810,24461
"의복","2018.08",326889,501473
"신발","2018.08",38886,87067
"가방","2018.08",45336,135402
"패션용품 및 액세서리","2018.08",67109,127241
"스포츠·레저용품","2018.08",123519,176711
"화장품","2018.08",342475,459509
"아동·유아용품","2018.08",68243,207562
"음·식료품","2018.08",301451,603681
"농축수산물","2018.08",74292,160790
"생활용품","2018.08",244105,470832
"자동차 및 자동차용품","2018.08",33296,51583
"가구","2018.08",86515,157881
"애완용품","2018.08",21450,50031
"여행 및 교통서비스","2018.08",650988,909075
"문화 및 레저서비스","2018.08",75356,138171
"이쿠폰서비스","2018.08",27793,152998
"음식서비스","2018.08",43611,453319
"기타서비스","2018.08",28968,33127
"기타","2018.08",95804,106850
"컴퓨터 및 주변기기","2018.09",226280,155899
"가전·전자·통신기기","2018.09",340868,451538
"서적","2018.09",77468,50715
"사무·문구","2018.09",33529,24862
"의복","2018.09",399362,604591
"신발","2018.09",46884,92588
"가방","2018.09",41905,134965
"패션용품 및 액세서리","2018.09",57332,112025
"스포츠·레저용품","2018.09",126162,178000
"화장품","2018.09",392815,456801
"아동·유아용품","2018.09",68616,205124
"음·식료품","2018.09",350883,649172
"농축수산물","2018.09",126449,183571
"생활용품","2018.09",238866,452938
"자동차 및 자동차용품","2018.09",30829,47628
"가구","2018.09",83475,158782
"애완용품","2018.09",18168,48060
"여행 및 교통서비스","2018.09",515727,749872
"문화 및 레저서비스","2018.09",73836,109445
"이쿠폰서비스","2018.09",35669,168207
"음식서비스","2018.09",40102,423648
"기타서비스","2018.09",95345,37839
"기타","2018.09",103602,116839
"컴퓨터 및 주변기기","2018.10",254118,165626
"가전·전자·통신기기","2018.10",429553,559968
"서적","2018.10",80587,51156
"사무·문구","2018.10",41333,29782
"의복","2018.10",493284,857624
"신발","2018.10",50340,113895
"가방","2018.10",44515,140222
"패션용품 및 액세서리","2018.10",58805,123842
"스포츠·레저용품","2018.10",157246,232078
"화장품","2018.10",401459,492829
"아동·유아용품","2018.10",77542,231320
"음·식료품","2018.10",298644,611763
"농축수산물","2018.10",79931,158130
"생활용품","2018.10",272434,516271
"자동차 및 자동차용품","2018.10",34981,53262
"가구","2018.10",102783,193892
"애완용품","2018.10",21100,48566
"여행 및 교통서비스","2018.10",586580,742626
"문화 및 레저서비스","2018.10",61376,125104
"이쿠폰서비스","2018.10",34178,168555
"음식서비스","2018.10",41489,460967
"기타서비스","2018.10",39959,35564
"기타","2018.10",111266,129898
"컴퓨터 및 주변기기","2018.11",275284,192882
"가전·전자·통신기기","2018.11",517411,664944
"서적","2018.11",86299,56107
"사무·문구","2018.11",43264,33099
"의복","2018.11",554222,927971
"신발","2018.11",57508,130879
"가방","2018.11",43401,136635
"패션용품 및 액세서리","2018.11",60670,131490
"스포츠·레저용품","2018.11",150248,223624
"화장품","2018.11",398730,512836
"아동·유아용품","2018.11",79117,230956
"음·식료품","2018.11",306595,621073
"농축수산물","2018.11",85916,170752
"생활용품","2018.11",273645,526203
"자동차 및 자동차용품","2018.11",42105,55994
"가구","2018.11",103195,192546
"애완용품","2018.11",19750,48551
"여행 및 교통서비스","2018.11",548742,747692
"문화 및 레저서비스","2018.11",73373,113638
"이쿠폰서비스","2018.11",39540,199645
"음식서비스","2018.11",42091,468405
"기타서비스","2018.11",42304,32916
"기타","2018.11",142644,169252
"컴퓨터 및 주변기기","2018.12",294467,206895
"가전·전자·통신기기","2018.12",470859,573086
"서적","2018.12",102843,65657
"사무·문구","2018.12",50853,38890
"의복","2018.12",509666,880877
"신발","2018.12",54381,124855
"가방","2018.12",47722,153599
"패션용품 및 액세서리","2018.12",69189,151613
"스포츠·레저용품","2018.12",133187,199688
"화장품","2018.12",352694,520553
"아동·유아용품","2018.12",100708,292866
"음·식료품","2018.12",315251,610357
"농축수산물","2018.12",80784,173774
"생활용품","2018.12",271350,516470
"자동차 및 자동차용품","2018.12",38056,56612
"가구","2018.12",98788,181287
"애완용품","2018.12",19851,48227
"여행 및 교통서비스","2018.12",572556,824163
"문화 및 레저서비스","2018.12",69403,127346
"이쿠폰서비스","2018.12",40676,227077
"음식서비스","2018.12",52591,577758
"기타서비스","2018.12",43518,34672
"기타","2018.12",145458,168526
"컴퓨터 및 주변기기","2019.01",329496,232016
"가전·전자·통신기기","2019.01",451529,611551
"서적","2019.01",100029,73920
"사무·문구","2019.01",42332,37433
"의복","2019.01",453476,653845
"신발","2019.01",57560,102086
"가방","2019.01",50523,151766
